actor,gender,emotion,emotion_lb,path,dataset,length_sec
1,male,1,neutral,Data\Processed_Audio\Actor_01\03-01-01-01-01-01-01.wav,RAVDESS,1.344
1,male,1,neutral,Data\Processed_Audio\Actor_01\03-01-01-01-01-02-01.wav,RAVDESS,1.312
1,male,1,neutral,Data\Processed_Audio\Actor_01\03-01-01-01-02-01-01.wav,RAVDESS,1.28
1,male,1,neutral,Data\Processed_Audio\Actor_01\03-01-01-01-02-02-01.wav,RAVDESS,1.28
1,male,2,calm,Data\Processed_Audio\Actor_01\03-01-02-01-01-01-01.wav,RAVDESS,1.568
1,male,2,calm,Data\Processed_Audio\Actor_01\03-01-02-01-01-02-01.wav,RAVDESS,1.696
1,male,2,calm,Data\Processed_Audio\Actor_01\03-01-02-01-02-01-01.wav,RAVDESS,1.632
1,male,2,calm,Data\Processed_Audio\Actor_01\03-01-02-01-02-02-01.wav,RAVDESS,1.568
1,male,2,calm,Data\Processed_Audio\Actor_01\03-01-02-02-01-01-01.wav,RAVDESS,1.824
1,male,2,calm,Data\Processed_Audio\Actor_01\03-01-02-02-01-02-01.wav,RAVDESS,2.08
1,male,2,calm,Data\Processed_Audio\Actor_01\03-01-02-02-02-01-01.wav,RAVDESS,2.336
1,male,2,calm,Data\Processed_Audio\Actor_01\03-01-02-02-02-02-01.wav,RAVDESS,1.984
1,male,3,happy,Data\Processed_Audio\Actor_01\03-01-03-01-01-01-01.wav,RAVDESS,1.504
1,male,3,happy,Data\Processed_Audio\Actor_01\03-01-03-01-01-02-01.wav,RAVDESS,1.728
1,male,3,happy,Data\Processed_Audio\Actor_01\03-01-03-01-02-01-01.wav,RAVDESS,1.504
1,male,3,happy,Data\Processed_Audio\Actor_01\03-01-03-01-02-02-01.wav,RAVDESS,1.76
1,male,3,happy,Data\Processed_Audio\Actor_01\03-01-03-02-01-01-01.wav,RAVDESS,1.6
1,male,3,happy,Data\Processed_Audio\Actor_01\03-01-03-02-01-02-01.wav,RAVDESS,1.568
1,male,3,happy,Data\Processed_Audio\Actor_01\03-01-03-02-02-01-01.wav,RAVDESS,1.952
1,male,3,happy,Data\Processed_Audio\Actor_01\03-01-03-02-02-02-01.wav,RAVDESS,1.984
1,male,4,sad,Data\Processed_Audio\Actor_01\03-01-04-01-01-01-01.wav,RAVDESS,1.824
1,male,4,sad,Data\Processed_Audio\Actor_01\03-01-04-01-01-02-01.wav,RAVDESS,1.6
1,male,4,sad,Data\Processed_Audio\Actor_01\03-01-04-01-02-01-01.wav,RAVDESS,1.472
1,male,4,sad,Data\Processed_Audio\Actor_01\03-01-04-01-02-02-01.wav,RAVDESS,1.44
1,male,4,sad,Data\Processed_Audio\Actor_01\03-01-04-02-01-01-01.wav,RAVDESS,1.824
1,male,4,sad,Data\Processed_Audio\Actor_01\03-01-04-02-01-02-01.wav,RAVDESS,1.6
1,male,4,sad,Data\Processed_Audio\Actor_01\03-01-04-02-02-01-01.wav,RAVDESS,1.728
1,male,4,sad,Data\Processed_Audio\Actor_01\03-01-04-02-02-02-01.wav,RAVDESS,1.76
1,male,5,angry,Data\Processed_Audio\Actor_01\03-01-05-01-01-01-01.wav,RAVDESS,1.856
1,male,5,angry,Data\Processed_Audio\Actor_01\03-01-05-01-01-02-01.wav,RAVDESS,2.016
1,male,5,angry,Data\Processed_Audio\Actor_01\03-01-05-01-02-01-01.wav,RAVDESS,1.536
1,male,5,angry,Data\Processed_Audio\Actor_01\03-01-05-01-02-02-01.wav,RAVDESS,1.76
1,male,5,angry,Data\Processed_Audio\Actor_01\03-01-05-02-01-01-01.wav,RAVDESS,2.048
1,male,5,angry,Data\Processed_Audio\Actor_01\03-01-05-02-01-02-01.wav,RAVDESS,2.304
1,male,5,angry,Data\Processed_Audio\Actor_01\03-01-05-02-02-01-01.wav,RAVDESS,2.048
1,male,5,angry,Data\Processed_Audio\Actor_01\03-01-05-02-02-02-01.wav,RAVDESS,2.368
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-01-06-01-01-01-01.wav,RAVDESS,1.632
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-01-06-01-01-02-01.wav,RAVDESS,1.696
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-01-06-01-02-01-01.wav,RAVDESS,1.504
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-01-06-01-02-02-01.wav,RAVDESS,1.76
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-01-06-02-01-01-01.wav,RAVDESS,2.816
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-01-06-02-01-02-01.wav,RAVDESS,2.112
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-01-06-02-02-01-01.wav,RAVDESS,1.824
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-01-06-02-02-02-01.wav,RAVDESS,1.792
1,male,7,disgust,Data\Processed_Audio\Actor_01\03-01-07-01-01-01-01.wav,RAVDESS,1.92
1,male,7,disgust,Data\Processed_Audio\Actor_01\03-01-07-01-01-02-01.wav,RAVDESS,1.888
1,male,7,disgust,Data\Processed_Audio\Actor_01\03-01-07-01-02-01-01.wav,RAVDESS,1.984
1,male,7,disgust,Data\Processed_Audio\Actor_01\03-01-07-01-02-02-01.wav,RAVDESS,1.888
1,male,7,disgust,Data\Processed_Audio\Actor_01\03-01-07-02-01-01-01.wav,RAVDESS,2.24
1,male,7,disgust,Data\Processed_Audio\Actor_01\03-01-07-02-01-02-01.wav,RAVDESS,1.984
1,male,7,disgust,Data\Processed_Audio\Actor_01\03-01-07-02-02-01-01.wav,RAVDESS,2.368
1,male,7,disgust,Data\Processed_Audio\Actor_01\03-01-07-02-02-02-01.wav,RAVDESS,2.336
1,male,8,surprised,Data\Processed_Audio\Actor_01\03-01-08-01-01-01-01.wav,RAVDESS,1.408
1,male,8,surprised,Data\Processed_Audio\Actor_01\03-01-08-01-01-02-01.wav,RAVDESS,1.28
1,male,8,surprised,Data\Processed_Audio\Actor_01\03-01-08-01-02-01-01.wav,RAVDESS,1.568
1,male,8,surprised,Data\Processed_Audio\Actor_01\03-01-08-01-02-02-01.wav,RAVDESS,1.376
1,male,8,surprised,Data\Processed_Audio\Actor_01\03-01-08-02-01-01-01.wav,RAVDESS,1.408
1,male,8,surprised,Data\Processed_Audio\Actor_01\03-01-08-02-01-02-01.wav,RAVDESS,1.568
1,male,8,surprised,Data\Processed_Audio\Actor_01\03-01-08-02-02-01-01.wav,RAVDESS,1.568
1,male,8,surprised,Data\Processed_Audio\Actor_01\03-01-08-02-02-02-01.wav,RAVDESS,1.312
1,male,1,neutral,Data\Processed_Audio\Actor_01\03-02-01-01-01-01-01.wav,RAVDESS,2.24
1,male,1,neutral,Data\Processed_Audio\Actor_01\03-02-01-01-01-02-01.wav,RAVDESS,2.272
1,male,1,neutral,Data\Processed_Audio\Actor_01\03-02-01-01-02-01-01.wav,RAVDESS,2.208
1,male,1,neutral,Data\Processed_Audio\Actor_01\03-02-01-01-02-02-01.wav,RAVDESS,2.208
1,male,2,calm,Data\Processed_Audio\Actor_01\03-02-02-01-01-01-01.wav,RAVDESS,2.4
1,male,2,calm,Data\Processed_Audio\Actor_01\03-02-02-01-01-02-01.wav,RAVDESS,2.4
1,male,2,calm,Data\Processed_Audio\Actor_01\03-02-02-01-02-01-01.wav,RAVDESS,2.688
1,male,2,calm,Data\Processed_Audio\Actor_01\03-02-02-01-02-02-01.wav,RAVDESS,2.464
1,male,2,calm,Data\Processed_Audio\Actor_01\03-02-02-02-01-01-01.wav,RAVDESS,2.784
1,male,2,calm,Data\Processed_Audio\Actor_01\03-02-02-02-01-02-01.wav,RAVDESS,2.496
1,male,2,calm,Data\Processed_Audio\Actor_01\03-02-02-02-02-01-01.wav,RAVDESS,2.88
1,male,2,calm,Data\Processed_Audio\Actor_01\03-02-02-02-02-02-01.wav,RAVDESS,3.04
1,male,3,happy,Data\Processed_Audio\Actor_01\03-02-03-01-01-01-01.wav,RAVDESS,2.56
1,male,3,happy,Data\Processed_Audio\Actor_01\03-02-03-01-01-02-01.wav,RAVDESS,2.464
1,male,3,happy,Data\Processed_Audio\Actor_01\03-02-03-01-02-01-01.wav,RAVDESS,2.4
1,male,3,happy,Data\Processed_Audio\Actor_01\03-02-03-01-02-02-01.wav,RAVDESS,2.528
1,male,3,happy,Data\Processed_Audio\Actor_01\03-02-03-02-01-01-01.wav,RAVDESS,2.784
1,male,3,happy,Data\Processed_Audio\Actor_01\03-02-03-02-01-02-01.wav,RAVDESS,2.72
1,male,3,happy,Data\Processed_Audio\Actor_01\03-02-03-02-02-01-01.wav,RAVDESS,2.912
1,male,3,happy,Data\Processed_Audio\Actor_01\03-02-03-02-02-02-01.wav,RAVDESS,2.944
1,male,4,sad,Data\Processed_Audio\Actor_01\03-02-04-01-01-01-01.wav,RAVDESS,2.464
1,male,4,sad,Data\Processed_Audio\Actor_01\03-02-04-01-01-02-01.wav,RAVDESS,2.496
1,male,4,sad,Data\Processed_Audio\Actor_01\03-02-04-01-02-01-01.wav,RAVDESS,2.816
1,male,4,sad,Data\Processed_Audio\Actor_01\03-02-04-01-02-02-01.wav,RAVDESS,2.592
1,male,4,sad,Data\Processed_Audio\Actor_01\03-02-04-02-01-01-01.wav,RAVDESS,2.24
1,male,4,sad,Data\Processed_Audio\Actor_01\03-02-04-02-01-02-01.wav,RAVDESS,2.24
1,male,4,sad,Data\Processed_Audio\Actor_01\03-02-04-02-02-01-01.wav,RAVDESS,2.304
1,male,4,sad,Data\Processed_Audio\Actor_01\03-02-04-02-02-02-01.wav,RAVDESS,2.656
1,male,5,angry,Data\Processed_Audio\Actor_01\03-02-05-01-01-01-01.wav,RAVDESS,2.336
1,male,5,angry,Data\Processed_Audio\Actor_01\03-02-05-01-01-02-01.wav,RAVDESS,2.72
1,male,5,angry,Data\Processed_Audio\Actor_01\03-02-05-01-02-01-01.wav,RAVDESS,2.56
1,male,5,angry,Data\Processed_Audio\Actor_01\03-02-05-01-02-02-01.wav,RAVDESS,2.72
1,male,5,angry,Data\Processed_Audio\Actor_01\03-02-05-02-01-01-01.wav,RAVDESS,3.456
1,male,5,angry,Data\Processed_Audio\Actor_01\03-02-05-02-01-02-01.wav,RAVDESS,3.296
1,male,5,angry,Data\Processed_Audio\Actor_01\03-02-05-02-02-01-01.wav,RAVDESS,2.912
1,male,5,angry,Data\Processed_Audio\Actor_01\03-02-05-02-02-02-01.wav,RAVDESS,3.136
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-02-06-01-01-01-01.wav,RAVDESS,2.4
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-02-06-01-01-02-01.wav,RAVDESS,2.336
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-02-06-01-02-01-01.wav,RAVDESS,2.336
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-02-06-01-02-02-01.wav,RAVDESS,2.464
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-02-06-02-01-01-01.wav,RAVDESS,2.304
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-02-06-02-01-02-01.wav,RAVDESS,2.496
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-02-06-02-02-01-01.wav,RAVDESS,2.304
1,male,6,fearful,Data\Processed_Audio\Actor_01\03-02-06-02-02-02-01.wav,RAVDESS,2.208
2,female,1,neutral,Data\Processed_Audio\Actor_02\03-01-01-01-01-01-02.wav,RAVDESS,1.664
2,female,1,neutral,Data\Processed_Audio\Actor_02\03-01-01-01-01-02-02.wav,RAVDESS,1.664
2,female,1,neutral,Data\Processed_Audio\Actor_02\03-01-01-01-02-01-02.wav,RAVDESS,1.728
2,female,1,neutral,Data\Processed_Audio\Actor_02\03-01-01-01-02-02-02.wav,RAVDESS,1.6
2,female,2,calm,Data\Processed_Audio\Actor_02\03-01-02-01-01-01-02.wav,RAVDESS,1.856
2,female,2,calm,Data\Processed_Audio\Actor_02\03-01-02-01-01-02-02.wav,RAVDESS,2.016
2,female,2,calm,Data\Processed_Audio\Actor_02\03-01-02-01-02-01-02.wav,RAVDESS,1.888
2,female,2,calm,Data\Processed_Audio\Actor_02\03-01-02-01-02-02-02.wav,RAVDESS,2.016
2,female,2,calm,Data\Processed_Audio\Actor_02\03-01-02-02-01-01-02.wav,RAVDESS,2.112
2,female,2,calm,Data\Processed_Audio\Actor_02\03-01-02-02-01-02-02.wav,RAVDESS,2.048
2,female,2,calm,Data\Processed_Audio\Actor_02\03-01-02-02-02-01-02.wav,RAVDESS,2.112
2,female,2,calm,Data\Processed_Audio\Actor_02\03-01-02-02-02-02-02.wav,RAVDESS,2.176
2,female,3,happy,Data\Processed_Audio\Actor_02\03-01-03-01-01-01-02.wav,RAVDESS,1.6
2,female,3,happy,Data\Processed_Audio\Actor_02\03-01-03-01-01-02-02.wav,RAVDESS,1.664
2,female,3,happy,Data\Processed_Audio\Actor_02\03-01-03-01-02-01-02.wav,RAVDESS,1.792
2,female,3,happy,Data\Processed_Audio\Actor_02\03-01-03-01-02-02-02.wav,RAVDESS,1.76
2,female,3,happy,Data\Processed_Audio\Actor_02\03-01-03-02-01-01-02.wav,RAVDESS,1.6
2,female,3,happy,Data\Processed_Audio\Actor_02\03-01-03-02-01-02-02.wav,RAVDESS,1.6
2,female,3,happy,Data\Processed_Audio\Actor_02\03-01-03-02-02-01-02.wav,RAVDESS,1.696
2,female,3,happy,Data\Processed_Audio\Actor_02\03-01-03-02-02-02-02.wav,RAVDESS,1.856
