actor,gender,emotion,emotion_lb,path,dataset,length_sec,sentiment,sentiment_name
1,male,4,sad,Data/Processed_Audio/Actor_01/03-01-04-01-01-01-01.wav,RAVDESS,1.824,0,Negative
1,male,4,sad,Data/Processed_Audio/Actor_01/03-01-04-01-01-02-01.wav,RAVDESS,1.6,0,Negative
1,male,4,sad,Data/Processed_Audio/Actor_01/03-01-04-01-02-01-01.wav,RAVDESS,1.472,0,Negative
1,male,4,sad,Data/Processed_Audio/Actor_01/03-01-04-01-02-02-01.wav,RAVDESS,1.44,0,Negative
1,male,4,sad,Data/Processed_Audio/Actor_01/03-01-04-02-01-01-01.wav,RAVDESS,1.824,0,Negative
1,male,4,sad,Data/Processed_Audio/Actor_01/03-01-04-02-01-02-01.wav,RAVDESS,1.6,0,Negative
1,male,4,sad,Data/Processed_Audio/Actor_01/03-01-04-02-02-01-01.wav,RAVDESS,1.728,0,Negative
1,male,4,sad,Data/Processed_Audio/Actor_01/03-01-04-02-02-02-01.wav,RAVDESS,1.76,0,Negative
1,male,5,angry,Data/Processed_Audio/Actor_01/03-01-05-01-01-01-01.wav,RAVDESS,1.856,0,Negative
1,male,5,angry,Data/Processed_Audio/Actor_01/03-01-05-01-01-02-01.wav,RAVDESS,2.016,0,Negative
1,male,5,angry,Data/Processed_Audio/Actor_01/03-01-05-01-02-01-01.wav,RAVDESS,1.536,0,Negative
1,male,5,angry,Data/Processed_Audio/Actor_01/03-01-05-01-02-02-01.wav,RAVDESS,1.76,0,Negative
1,male,5,angry,Data/Processed_Audio/Actor_01/03-01-05-02-01-01-01.wav,RAVDESS,2.048,0,Negative
1,male,5,angry,Data/Processed_Audio/Actor_01/03-01-05-02-01-02-01.wav,RAVDESS,2.304,0,Negative
1,male,5,angry,Data/Processed_Audio/Actor_01/03-01-05-02-02-01-01.wav,RAVDESS,2.048,0,Negative
1,male,5,angry,Data/Processed_Audio/Actor_01/03-01-05-02-02-02-01.wav,RAVDESS,2.368,0,Negative
1,male,6,fearful,Data/Processed_Audio/Actor_01/03-01-06-01-01-01-01.wav,RAVDESS,1.632,0,Negative
1,male,6,fearful,Data/Processed_Audio/Actor_01/03-01-06-01-01-02-01.wav,RAVDESS,1.696,0,Negative
1,male,6,fearful,Data/Processed_Audio/Actor_01/03-01-06-01-02-01-01.wav,RAVDESS,1.504,0,Negative
